Дата;Имя;Фамилия;Ввод пользователя;Результат
01-12-2022 20:17;Котемий;;3j+4+3j*3-7j+6j-5;(28-10j)
01-12-2022 20:18;Котемий;;3j+4+3j*3-7j+6j-5;(28-10j)
01-12-2022 20:18;Котемий;;1/3;0.3333333333333333
01-12-2022 20:37;Котемий;;2/0;Т
01-12-2022 20:37;Котемий;;2/0;ы
01-12-2022 20:46;Котемий;;2/0;Ты делишь на 0! Так делать нельзя!
01-12-2022 23:45;Котемий;;(2+3)*4;20.0
01-12-2022 23:46;Котемий;;((2+3) * 4) /2;20.0
01-12-2022 23:46;Котемий;;(2+3) * 4)/2;20.0
01-12-2022 23:50;Котемий;;((2+3)*4)/2;10.0
01-12-2022 23:54;Котемий;;4+3j*(3-7j+5j);(33-14j)
01-12-2022 23:58;Котемий;;4+3j*(3-7j+5j);(18+1j)
02-12-2022 00:18;Котемий;;16/4*(3-1);8.0
02-12-2022 00:19;Котемий;;16/4*(3-1);8.0

